flight_no,origin,dest,sched_dep_local,sched_arr_local,date,status,delay_min,cause_code,aircraft,seats_left_Y,seats_left_J,remarks
LK101,BNA,DEN,07:00,08:45,2025-05-07,ON_TIME,0,,A321,14,2,
LK582,BNA,LGA,06:30,09:45,2025-05-07,CANCELLED,0,CREW,A320,0,0,crew legality after late inbound; pax reaccommodated or refunded
LK411,DEN,AUS,07:00,10:10,2025-05-07,ON_TIME,0,,A320,5,0,
LK104,DEN,BNA,09:30,13:05,2025-05-07,ON_TIME,0,,A320,22,3,
LK226,SMF,DEN,10:40,14:05,2025-05-07,DELAYED,25,MX,A320,11,2,minor MX sign-off
LK3411,DEN,BOI,12:40,14:35,2025-05-07,ON_TIME,0,,E175,7,1,Larkspur Link
LK541,BNA,AUS,12:40,15:00,2025-05-07,ON_TIME,0,,A319,18,2,
LK110,DEN,BNA,18:30,22:05,2025-05-07,DELAYED,70,MX,A321,3,0,acft swap
LK102,DEN,BNA,06:15,09:50,2025-05-08,ON_TIME,0,,A321,4,0,
LK230,SMF,DEN,06:00,09:25,2025-05-08,ON_TIME,0,,A319,15,3,
LK582,BNA,LGA,06:30,09:45,2025-05-08,ON_TIME,0,,A320,7,2,
LK101,BNA,DEN,07:00,08:45,2025-05-08,ON_TIME,0,,A321,6,1,
LK411,DEN,AUS,07:00,10:10,2025-05-08,ON_TIME,0,,A320,2,0,
LK561,RDU,BNA,07:15,07:50,2025-05-08,DELAYED,110,MX,A319,12,2,acft swap at RDU
LK231,DEN,SMF,08:10,09:45,2025-05-08,ON_TIME,0,,A320,9,2,
LK103,BNA,DEN,09:05,10:50,2025-05-08,ON_TIME,0,,A320,0,0,departed full
LK572,BNA,CLT,09:10,11:25,2025-05-08,DELAYED,95,MX,A319,16,2,
LK104,DEN,BNA,09:30,13:05,2025-05-08,ON_TIME,0,,A320,1,0,
LK621,DEN,RDU,10:05,15:25,2025-05-08,ON_TIME,0,,A320,3,1,
LK562,BNA,RDU,10:20,12:50,2025-05-08,DELAYED,45,ATC,A319,9,1,flow program east coast
LK226,SMF,DEN,10:40,14:05,2025-05-08,DIVERTED,165,WX,A320,0,0,DIV COS during DEN ground stop; ground transfer COS-DEN arranged
LK412,AUS,DEN,11:00,12:20,2025-05-08,ON_TIME,0,,A320,0,0,arrived before weather
LK592,BNA,MCO,11:30,14:15,2025-05-08,DELAYED,65,ATC,A320,6,0,
LK105,BNA,DEN,12:10,13:55,2025-05-08,DELAYED,185,WX,A321,2,0,held at BNA (DEN GDP then ground stop 13:02-15:50 MDT)
LK228,SMF,DEN,12:15,15:40,2025-05-08,DELAYED,85,WX,A320,4,0,held at SMF (DEN ground stop)
LK3411,DEN,BOI,12:40,14:35,2025-05-08,CANCELLED,0,WX,E175,0,0,Larkspur Link
LK541,BNA,AUS,12:40,15:00,2025-05-08,ON_TIME,0,,A319,4,1,
LK371,DEN,MCO,12:55,18:35,2025-05-08,CANCELLED,0,WX,A321,0,0,convective WX DEN
LK251,DEN,LAS,13:20,14:15,2025-05-08,CANCELLED,0,WX,A320,0,0,convective WX DEN
LK414,AUS,DEN,13:30,14:50,2025-05-08,CANCELLED,0,WX,A319,0,0,DEN ground stop
LK415,DEN,AUS,13:45,16:55,2025-05-08,CANCELLED,0,WX,A320,0,0,DEN ground stop
LK321,DEN,MSP,13:50,16:50,2025-05-08,DELAYED,240,WX,A320,2,1,
LK261,DEN,PHX,14:05,14:55,2025-05-08,DELAYED,130,WX,A320,6,0,
LK3421,DEN,ABQ,14:20,15:35,2025-05-08,DELAYED,150,WX,E175,4,0,Larkspur Link
LK108,DEN,BNA,14:35,18:10,2025-05-08,DELAYED,150,WX,A321,5,1,
LK241,DEN,SEA,15:10,17:05,2025-05-08,DELAYED,200,MX,A321,8,2,hydraulic indication; acft swap
LK586,BNA,DCA,15:15,17:55,2025-05-08,DELAYED,75,SEC,A319,13,1,security checkpoint closure BNA concourse C
LK109,BNA,DEN,16:20,18:05,2025-05-08,DELAYED,90,WX,A321,7,2,DEN recovery metering
LK622,RDU,DEN,16:30,18:35,2025-05-08,DELAYED,120,WX,A320,9,1,DEN recovery metering
LK232,SMF,DEN,16:50,20:15,2025-05-08,ON_TIME,0,,A319,6,2,
LK235,DEN,SMF,17:20,18:55,2025-05-08,DELAYED,95,WX,A320,10,2,
LK566,BNA,RDU,17:30,20:00,2025-05-08,ON_TIME,0,,A319,20,2,
LK417,DEN,AUS,17:40,20:50,2025-05-08,DELAYED,75,WX,A320,3,1,recovery backlog
LK416,AUS,DEN,17:45,19:05,2025-05-08,DELAYED,60,WX,A320,5,1,late inbound acft
LK545,BNA,AUS,18:10,20:30,2025-05-08,ON_TIME,0,,A319,16,2,
LK110,DEN,BNA,18:30,22:05,2025-05-08,ON_TIME,0,,A321,3,0,protected departure slot
LK265,DEN,PHX,18:40,19:30,2025-05-08,DELAYED,40,WX,A319,14,2,
LK255,DEN,LAS,19:05,20:00,2025-05-08,DELAYED,190,WX,A320,2,0,late inbound acft (diversion recovery)
LK3415,DEN,BOI,19:10,21:05,2025-05-08,CANCELLED,0,WX,E175,0,0,Larkspur Link; crew and acft out of position
LK111,BNA,DEN,20:15,22:00,2025-05-08,CANCELLED,0,MX,A320,0,0,no serviceable spare at BNA; last BNA-DEN of day
LK419,DEN,AUS,20:15,23:25,2025-05-08,ON_TIME,0,,A319,11,2,
LK256,LAS,DEN,20:40,23:30,2025-05-08,ON_TIME,0,,A320,21,2,
LK230,SMF,DEN,06:00,09:25,2025-05-09,CANCELLED,0,WX,A319,0,0,acft out of position after COS diversion; pre-cancelled 2025-05-08 13:40 MDT
LK102,DEN,BNA,06:15,09:50,2025-05-09,ON_TIME,0,,A321,8,2,
LK582,BNA,LGA,06:30,09:45,2025-05-09,ON_TIME,0,,A320,5,1,
LK101,BNA,DEN,07:00,08:45,2025-05-09,ON_TIME,0,,A321,12,3,
LK411,DEN,AUS,07:00,10:10,2025-05-09,ON_TIME,0,,A320,9,2,
LK375,DEN,MCO,08:30,14:10,2025-05-09,ON_TIME,0,,A320,3,1,
LK104,DEN,BNA,09:30,13:05,2025-05-09,ON_TIME,0,,A320,17,2,
LK621,DEN,RDU,10:05,15:25,2025-05-09,ON_TIME,0,,A320,2,2,
LK226,SMF,DEN,10:40,14:05,2025-05-09,ON_TIME,0,,A320,7,1,
LK412,AUS,DEN,11:00,12:20,2025-05-09,ON_TIME,0,,A320,14,2,
LK3411,DEN,BOI,12:40,14:35,2025-05-09,ON_TIME,0,,E175,5,1,Larkspur Link
LK541,BNA,AUS,12:40,15:00,2025-05-09,ON_TIME,0,,A319,11,2,
LK592,BNA,MCO,11:30,14:15,2025-05-09,ON_TIME,0,,A320,9,1,
LK371,DEN,MCO,12:55,18:35,2025-05-09,ON_TIME,0,,A321,6,0,
LK251,DEN,LAS,13:20,14:15,2025-05-09,ON_TIME,0,,A320,30,4,
LK415,DEN,AUS,13:45,16:55,2025-05-09,ON_TIME,0,,A320,23,4,
LK321,DEN,MSP,13:50,16:50,2025-05-09,ON_TIME,0,,A320,14,2,
LK261,DEN,PHX,14:05,14:55,2025-05-09,ON_TIME,0,,A320,19,3,
